timeframe,symbol,row_count,unique_trading_days,coverage_ratio,stale,schema_ok,interval_alignment_ok,passes,failure_reason
15m,FITB,11618,451,0.9907896981067713,False,True,True,True,
15m,VALE,11926,451,1.0,False,True,True,True,
15m,BMNR,5240,199,1.0,False,True,True,True,
15m,IREN,11937,451,1.0,False,True,True,True,
15m,CVE,11598,451,0.9890840866450622,False,True,True,True,
15m,CTRA,11604,451,0.9895957700835749,False,True,True,True,
15m,PINS,11640,451,0.9926658707146512,False,True,True,True,
15m,TTD,11641,451,0.9927511512877366,False,True,True,True,
15m,CDE,11661,451,0.9944567627494457,False,True,True,True,
15m,HPE,11646,451,0.9931775541531639,False,True,True,True,
15m,NCLH,11671,451,0.9953095684803002,False,True,True,True,
15m,KVUE,11647,451,0.9932628347262493,False,True,True,True,
15m,RKT,11616,451,0.9906191369606003,False,True,True,True,
15m,TFC,11617,451,0.9907044175336859,False,True,True,True,
15m,AG,11703,451,0.9980385468190346,False,True,True,True,
15m,CPNG,11625,451,0.9913866621183695,False,True,True,True,
15m,KMI,11620,451,0.9909602592529422,False,True,True,True,
15m,LUV,11632,451,0.9919836261299676,False,True,True,True,
15m,DKNG,11633,451,0.992068906703053,False,True,True,True,
15m,HBAN,11632,451,0.9919836261299676,False,True,True,True,
15m,KHC,11622,451,0.991130820399113,False,True,True,True,
15m,CPRT,11615,451,0.9905338563875149,False,True,True,True,
15m,GIS,11613,451,0.990363295241344,False,True,True,True,
15m,KEY,11618,451,0.9907896981067713,False,True,True,True,
15m,KGC,11621,451,0.9910455398260276,False,True,True,True,
15m,HIMS,11978,451,1.0,False,True,True,True,
15m,WULF,12383,451,1.0,False,True,True,True,
15m,HDB,11606,451,0.9897663312297459,False,True,True,True,
15m,HPQ,11618,451,0.9907896981067713,False,True,True,True,
15m,TOST,11617,451,0.9907044175336859,False,True,True,True,
15m,PCG,11626,451,0.9914719426914549,False,True,True,True,
15m,MOS,11620,451,0.9909602592529422,False,True,True,True,
15m,RF,11614,451,0.9904485758144295,False,True,True,True,
15m,HL,11670,451,0.9952242879072147,False,True,True,True,
15m,IONQ,8106,304,1.0,False,True,True,True,
15m,KDP,11628,451,0.9916425038376258,False,True,True,True,
15m,PR,7852,304,0.993421052631579,False,True,True,True,
15m,RIVN,8072,304,1.0,False,True,True,True,
15m,FIG,4236,203,0.8025767336112164,False,True,True,False,coverage
15m,JD,8058,304,1.0,False,True,True,True,
15m,QBTS,8679,304,1.0,False,True,True,True,
15m,GAP,7853,304,0.9935475708502024,False,True,True,True,
1d,NVDA,828,828,1.0,False,True,True,True,
1d,AMZN,828,828,1.0,False,True,True,True,
1d,MSFT,828,828,1.0,False,True,True,True,
1d,AAPL,828,828,1.0,False,True,True,True,
1d,TSLA,828,828,1.0,False,True,True,True,
1d,MU,828,828,1.0,False,True,True,True,
1d,AVGO,828,828,1.0,False,True,True,True,
1d,GOOGL,828,828,1.0,False,True,True,True,
1d,AMD,828,828,1.0,False,True,True,True,
1d,XOM,828,828,1.0,False,True,True,True,
1d,INTC,828,828,1.0,False,True,True,True,
1d,BAC,828,828,1.0,False,True,True,True,
1d,CRM,828,828,1.0,False,True,True,True,
1d,PLTR,828,828,1.0,False,True,True,True,
1d,CSCO,828,828,1.0,False,True,True,True,
1d,ORCL,828,828,1.0,False,True,True,True,
1d,WMT,828,828,1.0,False,True,True,True,
1d,NOW,828,828,1.0,False,True,True,True,
1d,WFC,828,828,1.0,False,True,True,True,
1d,GLW,828,828,1.0,False,True,True,True,
1d,KO,828,828,1.0,False,True,True,True,
1d,VZ,828,828,1.0,False,True,True,True,
1d,T,828,828,1.0,False,True,True,True,
1d,FCX,828,828,1.0,False,True,True,True,
1d,C,828,828,1.0,False,True,True,True,
1d,UBER,828,828,1.0,False,True,True,True,
1d,PFE,828,828,1.0,False,True,True,True,
1d,CMCSA,828,828,1.0,False,True,True,True,
1d,PYPL,828,828,1.0,False,True,True,True,
1d,SLB,828,828,1.0,False,True,True,True,
1d,WBD,828,828,1.0,False,True,True,True,
1d,BSX,828,828,1.0,False,True,True,True,
1d,BMY,828,828,1.0,False,True,True,True,
1d,NKE,828,828,1.0,False,True,True,True,
1d,KKR,828,828,1.0,False,True,True,True,
1d,MRVL,828,828,1.0,False,True,True,True,
1d,DAL,828,828,1.0,False,True,True,True,
1d,CRWV,247,247,1.0,False,True,True,False,coverage
1d,B,828,828,1.0,False,True,True,True,
1d,DVN,828,828,1.0,False,True,True,True,
1d,NVO,828,828,1.0,False,True,True,True,
1d,SOFI,828,828,1.0,False,True,True,True,
1d,CSX,828,828,1.0,False,True,True,True,
1d,OXY,828,828,1.0,False,True,True,True,
1d,HOOD,828,828,1.0,False,True,True,True,
1d,CCL,828,828,1.0,False,True,True,True,
1d,HAL,828,828,1.0,False,True,True,True,
1d,CMG,828,828,1.0,False,True,True,True,
1d,MDLZ,828,828,1.0,False,True,True,True,
1d,PBR,828,828,1.0,False,True,True,True,
1d,CNQ,828,828,1.0,False,True,True,True,
1d,BP,828,828,1.0,False,True,True,True,
1d,USB,828,828,1.0,False,True,True,True,
1d,EXC,828,828,1.0,False,True,True,True,
1d,EQT,828,828,1.0,False,True,True,True,
1d,BKR,828,828,1.0,False,True,True,True,
1d,SMCI,828,828,1.0,False,True,True,True,
1d,DOW,828,828,1.0,False,True,True,True,
1d,FITB,828,828,1.0,False,True,True,True,
1d,VALE,828,828,1.0,False,True,True,True,
1d,BMNR,200,200,1.0,False,True,True,False,coverage
1d,IREN,828,828,1.0,False,True,True,True,
1d,CVE,828,828,1.0,False,True,True,True,
1d,CTRA,828,828,1.0,False,True,True,True,
1d,PINS,828,828,1.0,False,True,True,True,
1d,TTD,828,828,1.0,False,True,True,True,
1d,CDE,828,828,1.0,False,True,True,True,
1d,HPE,828,828,1.0,False,True,True,True,
1d,NCLH,828,828,1.0,False,True,True,True,
1d,KVUE,723,723,1.0,False,True,True,True,
1d,RKT,828,828,1.0,False,True,True,True,
1d,TFC,828,828,1.0,False,True,True,True,
1d,AG,828,828,1.0,False,True,True,True,
1d,CPNG,828,828,1.0,False,True,True,True,
1d,KMI,828,828,1.0,False,True,True,True,
1d,LUV,828,828,1.0,False,True,True,True,
1d,DKNG,828,828,1.0,False,True,True,True,
1d,HBAN,828,828,1.0,False,True,True,True,
1d,KHC,828,828,1.0,False,True,True,True,
1d,CPRT,828,828,1.0,False,True,True,True,
1d,GIS,828,828,1.0,False,True,True,True,
1d,KEY,828,828,1.0,False,True,True,True,
1d,KGC,828,828,1.0,False,True,True,True,
1d,HIMS,828,828,1.0,False,True,True,True,
1d,WULF,828,828,1.0,False,True,True,True,
1d,HDB,828,828,1.0,False,True,True,True,
1d,HPQ,828,828,1.0,False,True,True,True,
1d,TOST,828,828,1.0,False,True,True,True,
1d,PCG,828,828,1.0,False,True,True,True,
1d,MOS,828,828,1.0,False,True,True,True,
1d,RF,828,828,1.0,False,True,True,True,
1d,HL,828,828,1.0,False,True,True,True,
1d,IONQ,828,828,1.0,False,True,True,True,
1d,KDP,828,828,1.0,False,True,True,True,
1d,PR,828,828,1.0,False,True,True,True,
1d,RIVN,828,828,1.0,False,True,True,True,
1d,FIG,746,746,1.0,False,True,True,True,
1d,JD,828,828,1.0,False,True,True,True,
1d,QBTS,828,828,1.0,False,True,True,True,
1d,GAP,828,828,1.0,False,True,True,True,
